table	entity_type	col_name	type	auxiliary_table	auxiliary_namecol	update_col_type
TAB_Raw_Data	raw_data	Id	integer	NA	NA	NA
TAB_Raw_Data	raw_data	Sequencing	integer	NA	NA	NA
TAB_Raw_Data	raw_data	Raw_Data_Id	character	NA	NA	NA
TAB_Raw_Data	raw_data	Full_Raw_Data_Id	character	NA	NA	NA
TAB_Raw_Data	raw_data	Protocol	integer	TAB_Protocol	Name	NA
TAB_Raw_Data	raw_data	Creation_Date	datetime	NA	NA	NA
TAB_Raw_Data	raw_data	Demultiplexed_Reads	integer	NA	NA	NA
TAB_Raw_Data	raw_data	FastQ_Files	character	NA	NA	NA
TAB_Raw_Data	raw_data	Public_Database_Accessions	character	NA	NA	NA
TAB_Raw_Data	raw_data	Pubmed_Id	character	NA	NA	NA
TAB_Raw_Data	raw_data	DOI	character	NA	NA	NA
TAB_Raw_Data	raw_data	Ethically_culturally_sensitive	logical	NA	NA	NA
TAB_Raw_Data	raw_data	Files	integer	NA	NA	NA
TAB_Raw_Data	raw_data	Notes	character	NA	NA	NA
TAB_Raw_Data	raw_data	Tags	character	NA	NA	NA
TAB_Raw_Data	raw_data	Projects	character	NA	NA	NA
TAB_Raw_Data	raw_data	Deleted	logical	NA	NA	NA
TAB_Raw_Data	raw_data	Deleted_Date	datetime	NA	NA	NA
TAB_Sequencing_Sequencer	sequencer	Id	integer	NA	NA	NA
TAB_Sequencing_Sequencer	sequencer	Name	character	NA	NA	NA
TAB_Tag	tag	Id	integer	NA	NA	NA
TAB_Tag	tag	Name	character	NA	NA	NA
TAB_Tag	tag	Worker	integer	TAB_User	Name	NA
TAB_Tag	tag	Creation_Date	datetime	NA	NA	NA
TAB_Tag	tag	Notes	character	NA	NA	NA
TAB_Project	project	Id	integer	NA	NA	NA
TAB_Project	project	Name	character	NA	NA	NA
TAB_Project	project	Leadership_and_Collaborators	character	NA	NA	NA
TAB_Project	project	Cost_Center	character	NA	NA	NA
TAB_Project	project	Institution	character	NA	NA	NA
TAB_Project	project	Cluster_Folder	character	NA	NA	NA
TAB_Project	project	Notes	character	NA	NA	NA
TAB_User	worker	Id	integer	NA	NA	NA
TAB_User	worker	Name	character	NA	NA	NA
TAB_User	worker	Username	character	NA	NA	NA
TAB_Batch	batch	Id	integer	NA	NA	NA
TAB_Batch	batch	Type	integer	TAB_Type	Name	optional
TAB_Batch	batch	Name	character	NA	NA	optional
TAB_Batch	batch	Worker	integer	TAB_User	Name	mandatory
